Year,Route Count,Canada Goose,Mute Swan,Wood Duck,Gadwall,American Black Duck,Mallard,Blue-winged Teal,Northern Pintail,Green-winged Teal,Canvasback,Redhead,Ring-necked Duck,Common Goldeneye,Hooded Merganser,Common Merganser,Ruddy Duck,Northern Bobwhite,Gray Partridge,Ring-necked Pheasant,Ruffed Grouse,Spruce Grouse,Wild Turkey,Common Loon,Pied-billed Grebe,Double-crested Cormorant,American Bittern,Least Bittern,Great Blue Heron,Great Egret,Snowy Egret,Little Blue Heron,Cattle Egret,Green Heron,Black-crowned Night-Heron,Yellow-crowned Night-Heron,Glossy Ibis,Black Vulture,Turkey Vulture,Osprey,Bald Eagle,Northern Harrier,Sharp-shinned Hawk,Cooper's Hawk,Northern Goshawk,unid. Accipiter Hawk,Red-shouldered Hawk,Broad-winged Hawk,Red-tailed Hawk,unid. Buteo Hawk,Golden Eagle,American Kestrel,Merlin,Clapper Rail,Virginia Rail,Sora,Common Gallinule,American Coot,Piping Plover,Killdeer,American Oystercatcher,Spotted Sandpiper,Willet,Upland Sandpiper,Wilson's Snipe,American Woodcock,Laughing Gull,Ring-billed Gull,Herring Gull,Great Black-backed Gull,unid. Gull,Least Tern,Black Tern,Roseate Tern,Common Tern,Forster's Tern,Black Skimmer,Rock Pigeon,Mourning Dove,Yellow-billed Cuckoo,Black-billed Cuckoo,unid. Cuckoo,Eastern Screech-Owl,Great Horned Owl,Barred Owl,Long-eared Owl,Northern Saw-whet Owl,Common Nighthawk,Eastern Whip-poor-will,Chimney Swift,Ruby-throated Hummingbird,Belted Kingfisher,Red-headed Woodpecker,Red-bellied Woodpecker,Yellow-bellied Sapsucker,Downy Woodpecker,Hairy Woodpecker,Black-backed Woodpecker,(Yellow-shafted Flicker) Northern Flicker,Pileated Woodpecker,unid. Woodpecker,Olive-sided Flycatcher,Eastern Wood-Pewee,Yellow-bellied Flycatcher,Acadian Flycatcher,Alder Flycatcher,Willow Flycatcher,unid. Alder Flycatcher / Willow Flycatcher,Least Flycatcher,unid. Empidonax Flycatcher,Eastern Phoebe,Great Crested Flycatcher,Eastern Kingbird,Loggerhead Shrike,White-eyed Vireo,Yellow-throated Vireo,Blue-headed Vireo,Warbling Vireo,Philadelphia Vireo,Red-eyed Vireo,Gray Jay,Blue Jay,American Crow,Fish Crow,Common Raven,Horned Lark,Purple Martin,Tree Swallow,Northern Rough-winged Swallow,Bank Swallow,Cliff Swallow,Barn Swallow,Carolina Chickadee,Black-capped Chickadee,Boreal Chickadee,Tufted Titmouse,Red-breasted Nuthatch,White-breasted Nuthatch,Brown Creeper,Carolina Wren,House Wren,Winter Wren,Sedge Wren,Marsh Wren,Blue-gray Gnatcatcher,Golden-crowned Kinglet,Ruby-crowned Kinglet,Eastern Bluebird,Veery,Gray-cheeked Thrush,Swainson's Thrush,Hermit Thrush,Wood Thrush,American Robin,Gray Catbird,Northern Mockingbird,Brown Thrasher,European Starling,Cedar Waxwing,Ovenbird,Worm-eating Warbler,Louisiana Waterthrush,Northern Waterthrush,Golden-winged Warbler,Blue-winged Warbler,Brewster's Warbler (Golden-winged x Blue-winged),Black-and-white Warbler,Prothonotary Warbler,Tennessee Warbler,Nashville Warbler,Connecticut Warbler,Mourning Warbler,Kentucky Warbler,Common Yellowthroat,Hooded Warbler,American Redstart,Cape May Warbler,Cerulean Warbler,Northern Parula,Magnolia Warbler,Bay-breasted Warbler,Blackburnian Warbler,Yellow Warbler,Chestnut-sided Warbler,Blackpoll Warbler,Black-throated Blue Warbler,Palm Warbler,Pine Warbler,(Myrtle Warbler) Yellow-rumped Warbler,Prairie Warbler,Black-throated Green Warbler,Canada Warbler,Wilson's Warbler,Yellow-breasted Chat,Eastern Towhee,Chipping Sparrow,Clay-colored Sparrow,Field Sparrow,Vesper Sparrow,Savannah Sparrow,Grasshopper Sparrow,Henslow's Sparrow,Saltmarsh Sparrow,Seaside Sparrow,Song Sparrow,Lincoln's Sparrow,Swamp Sparrow,White-throated Sparrow,(Slate-colored Junco) Dark-eyed Junco,Scarlet Tanager,Northern Cardinal,Rose-breasted Grosbeak,Blue Grosbeak,Indigo Bunting,Dickcissel,Bobolink,Red-winged Blackbird,Eastern Meadowlark,Western Meadowlark,unid. Eastern Meadowlark / Western Meadowlark,Rusty Blackbird,Common Grackle,Boat-tailed Grackle,Brown-headed Cowbird,Orchard Oriole,Baltimore Oriole,Purple Finch,House Finch,Red Crossbill,White-winged Crossbill,Pine Siskin,American Goldfinch,Evening Grosbeak,House Sparrow
1999,80,687,33,29,0,3,133,0,0,0,0,0,0,0,0,11,0,9,0,79,6,0,64,10,2,2,5,0,97,2,1,0,0,24,0,0,0,0,68,1,0,2,9,2,3,0,8,15,69,0,0,60,0,0,1,0,0,1,0,455,0,1,0,8,20,2,0,871,27,8,0,0,0,0,4,0,2,1009,2020,13,31,0,0,2,4,0,0,0,0,213,32,41,0,84,295,246,60,1,214,44,0,3,205,2,0,170,200,0,311,1,509,188,235,0,0,33,146,257,1,2148,0,927,3699,5,98,73,36,791,41,168,122,1468,0,909,0,218,130,205,31,16,716,121,0,9,18,49,10,158,469,0,50,331,612,4870,982,129,62,6025,885,818,4,12,37,6,73,0,104,0,3,33,0,53,0,1428,32,342,0,4,44,112,0,85,1097,390,0,63,0,17,251,16,180,31,0,0,138,1591,0,244,47,597,18,3,0,0,2599,1,105,377,130,177,771,232,0,460,0,801,4831,317,0,0,0,2114,4,520,0,385,122,472,8,0,3,1705,34,1793
2000,74,581,15,18,0,0,178,1,0,0,0,0,0,0,9,4,0,4,0,91,4,0,68,11,0,6,1,0,92,4,0,0,0,21,1,0,0,0,91,1,0,11,5,3,0,0,5,6,51,0,0,59,0,0,0,0,0,2,0,350,0,2,0,3,16,1,0,524,8,0,0,0,0,0,3,0,0,760,1788,20,27,0,0,2,2,0,0,0,0,227,29,23,0,98,198,168,58,0,189,45,0,1,156,0,0,114,157,0,223,0,350,161,219,0,0,33,140,252,0,2301,1,793,3337,1,58,67,42,819,47,36,62,1367,1,919,0,258,77,134,32,18,628,127,1,12,20,23,11,120,389,0,39,276,533,4443,944,109,64,6703,1108,719,4,9,14,4,61,0,98,0,1,76,0,47,0,1420,24,276,0,1,46,93,0,106,1004,329,0,61,0,21,240,14,173,16,0,0,107,1327,0,177,32,597,13,0,0,0,2117,2,99,378,129,172,725,217,0,433,0,719,4826,281,0,0,0,2570,2,457,0,307,105,485,1,0,0,1565,37,1455
2001,63,426,18,18,0,2,187,0,0,0,0,0,0,0,1,8,0,2,0,76,5,0,57,8,0,5,4,0,78,1,0,0,0,23,1,0,2,0,19,0,1,3,3,3,1,1,7,6,56,0,0,58,0,0,0,0,0,1,0,303,0,1,1,3,2,1,0,911,14,0,0,0,0,0,4,0,0,678,1520,15,10,0,0,1,9,0,0,0,1,184,32,23,0,73,185,162,44,0,175,38,0,2,141,2,2,116,170,0,198,1,347,168,232,0,0,24,83,196,1,1588,0,640,2944,12,44,76,44,657,31,47,117,1261,0,756,0,187,83,127,22,19,472,75,0,2,7,22,0,127,307,0,29,347,516,3643,876,99,37,5166,926,584,4,6,7,1,54,0,78,0,0,35,0,34,0,1298,21,195,0,2,25,77,1,72,858,276,1,39,0,23,176,15,125,15,0,0,115,1183,0,198,23,544,16,1,0,0,1942,0,70,321,133,162,694,180,0,366,0,620,4311,185,0,0,1,1635,0,318,3,255,73,420,0,0,0,1650,18,1151
2002,60,535,12,30,0,2,192,0,0,0,0,0,0,0,1,2,0,1,0,67,3,0,54,5,0,0,2,0,53,2,0,0,0,20,1,0,0,0,20,0,0,3,5,5,0,0,1,6,39,0,0,43,0,0,0,0,0,0,0,239,0,3,0,1,5,1,0,1196,15,0,0,0,0,0,2,0,0,701,1496,13,6,0,0,1,2,0,0,0,0,222,25,25,0,100,228,130,54,1,136,55,1,2,145,9,1,122,151,0,170,2,366,124,172,0,0,16,122,213,0,1779,0,697,2609,6,42,80,19,416,30,144,93,850,0,803,0,236,60,120,28,43,427,93,0,0,5,38,0,130,267,0,21,182,442,3700,704,98,37,4020,1002,601,4,8,7,3,66,0,57,0,0,41,0,37,0,1206,20,207,0,1,30,74,0,81,883,298,0,60,0,25,198,11,117,15,0,0,108,1090,0,188,54,460,13,1,0,0,1951,1,72,269,129,139,719,142,0,335,0,615,3890,202,0,0,0,1567,0,394,3,297,95,343,3,3,0,1394,9,1367
2003,57,710,72,24,0,0,97,2,0,0,0,0,0,0,3,30,0,12,0,75,8,0,63,2,0,5,9,0,87,1,1,0,0,11,0,0,0,0,22,2,2,6,6,2,0,0,5,6,42,0,0,25,0,0,0,0,0,0,0,217,0,5,0,1,7,2,0,305,8,1,0,0,0,0,7,0,1,767,1423,27,28,4,2,1,5,0,0,0,0,201,39,17,0,92,183,104,44,1,129,33,0,1,170,0,1,145,129,0,150,0,203,178,132,0,0,28,83,234,0,1690,0,683,2337,14,61,75,39,420,21,128,99,830,0,806,0,236,45,90,21,19,406,68,0,2,14,18,0,88,232,0,12,205,326,3472,702,88,35,4643,856,607,3,7,15,5,48,0,63,0,0,48,0,34,0,1164,17,253,0,1,13,82,1,107,923,306,0,26,0,28,153,22,115,17,0,0,92,1116,0,166,50,397,3,10,0,0,1745,2,67,314,117,135,725,135,0,332,0,650,3943,134,0,0,0,1288,0,333,1,269,58,360,0,0,0,1308,11,1179
2004,65,413,16,12,0,0,113,1,0,0,0,0,0,0,1,17,0,3,0,52,8,0,32,11,0,8,10,0,60,2,3,0,0,24,0,0,4,0,25,5,0,5,6,4,1,0,5,9,38,0,0,23,0,0,1,1,0,0,0,203,0,8,1,3,14,0,0,542,20,1,56,0,0,0,16,0,2,1013,1394,20,57,0,1,1,2,0,0,0,0,178,43,22,1,94,278,197,43,0,125,57,0,0,184,1,2,121,122,0,192,0,285,151,184,0,0,43,116,211,0,1939,0,761,2464,2,64,67,17,497,23,179,107,1083,0,953,2,259,75,192,30,32,488,100,0,2,15,14,0,96,370,1,24,280,465,3690,863,92,36,3440,1053,668,1,14,18,7,52,0,69,0,0,79,0,35,0,1249,32,256,1,2,18,90,0,73,785,365,0,41,0,41,174,25,116,11,0,0,124,1285,0,170,58,393,4,0,0,0,1977,1,110,359,132,194,690,177,0,498,0,543,3939,149,0,0,2,1754,0,381,1,344,113,341,2,0,0,1465,3,1270
2005,75,896,42,32,1,4,235,0,0,0,0,0,0,0,3,6,0,9,0,54,10,0,58,11,0,138,16,1,66,1,4,0,0,20,1,0,3,0,77,6,2,6,5,8,1,0,3,10,43,0,0,43,0,0,3,1,3,0,0,233,0,4,3,1,21,1,0,1018,21,2,0,0,0,0,12,0,1,1037,1639,82,110,1,0,0,2,0,0,0,0,257,58,33,0,147,236,219,74,0,135,77,2,0,270,4,0,202,151,0,246,4,389,211,220,0,0,41,140,286,3,2243,0,1049,3184,20,61,58,66,655,26,223,167,1068,0,1198,0,358,86,202,38,30,735,120,0,9,17,22,2,102,313,0,27,248,482,4241,977,109,82,4446,862,849,1,16,10,7,63,1,87,0,0,80,0,40,0,1294,46,288,0,0,39,83,0,160,1099,428,1,69,0,62,246,21,167,13,0,0,150,1598,1,231,48,385,3,0,1,0,2416,4,114,337,169,205,857,245,0,620,0,781,4929,163,0,0,1,1638,0,413,2,491,85,254,0,0,3,1400,7,1640
2006,81,566,55,49,6,4,136,0,0,0,0,0,0,0,4,19,0,1,0,58,15,0,58,9,0,133,17,1,98,7,6,0,0,15,0,0,10,0,69,4,1,5,2,9,0,0,4,13,40,0,0,49,2,0,2,1,1,0,0,256,0,2,0,0,39,3,0,960,32,4,0,3,0,0,26,0,11,994,1759,64,70,0,0,3,8,0,0,0,1,193,56,24,0,100,343,239,109,2,175,81,1,3,193,6,0,177,144,0,293,0,531,182,180,0,0,47,231,286,2,2145,0,886,3089,3,87,93,48,643,14,141,101,1071,0,1253,0,311,111,207,41,31,731,144,0,14,17,32,4,140,362,0,38,275,484,4366,950,109,46,5187,969,975,2,14,11,7,62,0,125,0,1,106,0,60,0,1476,41,364,1,3,74,131,0,173,927,443,0,132,0,75,246,24,252,17,0,0,122,1691,0,237,101,402,7,2,1,0,2360,0,156,481,179,269,849,242,0,568,2,589,4695,159,0,0,0,1867,0,431,1,451,140,329,0,0,7,1371,8,1689
2007,77,730,6,51,0,0,112,0,0,0,0,0,0,0,0,26,0,1,0,57,18,0,88,17,0,3,8,0,71,0,0,0,0,22,0,0,0,0,49,3,3,6,9,7,0,0,4,23,43,0,0,36,2,0,0,0,1,0,0,243,0,4,0,2,15,0,0,788,4,0,0,0,0,0,0,0,0,844,1870,50,56,0,0,1,2,0,0,0,0,190,64,24,0,129,409,186,104,1,165,97,4,1,237,2,1,189,130,0,267,1,296,205,204,0,0,41,206,299,1,2232,1,1030,3289,3,127,76,62,548,13,56,126,1063,0,1011,0,346,133,181,50,40,671,80,0,3,7,16,0,145,432,0,47,359,437,4089,999,80,70,4824,848,1154,2,17,12,0,53,0,114,0,2,68,0,60,0,1413,34,332,0,0,84,167,0,215,916,480,0,128,0,66,317,22,227,20,0,0,109,1697,0,234,85,340,3,0,0,0,2348,0,112,467,236,216,900,229,0,552,0,672,4484,124,0,0,0,1871,0,560,1,547,141,330,16,0,0,1569,7,1140
2008,81,576,8,19,0,8,155,0,0,0,0,0,0,0,1,22,0,0,0,34,20,0,130,9,3,2,12,0,90,0,0,0,0,21,0,0,0,0,71,1,1,9,5,2,0,1,1,11,58,0,0,37,1,0,0,0,1,1,0,283,0,2,0,2,12,4,0,826,24,0,0,0,0,0,0,0,0,804,1730,48,65,0,1,2,0,0,0,0,0,173,53,31,0,120,354,203,92,0,169,91,7,1,206,0,1,126,147,0,308,0,341,219,189,0,0,42,193,327,2,2064,1,982,3167,4,94,109,36,634,18,127,81,902,0,1105,0,375,72,187,27,38,820,107,1,5,7,12,1,165,358,0,20,274,424,4263,1134,101,64,5012,1006,994,2,16,17,8,50,0,99,0,2,83,0,37,0,1513,35,357,0,3,68,91,0,157,1013,419,5,79,0,57,222,29,190,8,0,0,134,1619,0,235,52,382,4,0,0,0,2391,0,124,304,197,188,904,241,0,575,0,717,5007,158,0,0,0,1896,0,511,6,545,167,264,0,0,0,1441,1,1087
2009,78,542,35,54,0,1,117,0,0,0,0,0,1,0,0,23,0,1,0,34,8,0,116,11,1,3,21,0,99,0,0,0,0,30,0,0,0,0,42,5,1,2,7,4,0,1,10,15,55,1,0,43,2,0,1,0,1,0,0,238,0,39,0,0,14,1,0,1306,4,0,0,0,0,0,0,0,0,759,1490,51,59,0,0,1,4,0,0,0,1,139,51,23,0,134,363,201,87,0,209,88,4,0,213,3,1,175,124,0,214,2,365,204,199,0,0,37,281,286,3,2128,0,908,3285,0,140,69,65,521,34,68,178,974,0,1091,2,316,140,183,47,48,754,117,0,5,19,25,3,155,373,0,39,320,392,4471,996,82,55,4421,1262,977,1,11,16,7,38,2,104,0,4,74,0,40,0,1406,33,359,0,1,87,126,0,205,902,456,0,139,0,75,260,24,241,23,0,0,137,1612,0,228,85,412,7,0,0,0,2348,1,132,406,238,214,813,216,0,566,0,628,4598,213,0,0,2,1630,0,476,4,433,122,258,5,2,6,1341,4,1121
2010,77,728,49,79,0,7,145,0,0,0,0,0,0,0,3,2,0,1,0,34,13,0,74,18,1,3,14,0,99,1,1,0,0,22,9,0,0,0,99,8,2,2,6,6,0,1,8,13,53,0,0,38,0,0,1,0,1,0,0,285,0,2,0,1,26,4,0,1087,12,1,1,1,0,0,0,2,0,661,1598,35,22,1,2,3,9,0,1,0,0,150,33,19,0,157,415,223,113,2,207,95,6,2,206,0,1,133,144,1,219,0,358,167,185,0,0,32,236,303,1,2101,0,897,3482,0,117,112,29,625,26,35,131,1145,0,1092,0,345,106,244,61,51,729,169,1,2,10,28,1,166,379,0,36,320,453,4978,1286,103,62,4417,1033,1032,3,15,24,6,41,1,98,0,1,68,0,53,0,1370,29,361,0,0,68,130,0,177,917,442,0,112,1,72,254,25,215,27,0,0,157,1639,0,164,78,394,7,0,0,0,2395,4,130,364,257,219,1023,228,0,497,0,682,4947,149,0,2,0,1728,0,411,5,464,106,296,1,1,2,1317,4,1160
2011,74,739,31,23,0,1,178,0,0,0,0,0,0,0,6,13,0,1,0,37,5,0,133,14,2,11,18,0,84,4,0,0,0,27,2,0,0,0,48,7,3,1,4,4,0,0,9,10,53,0,0,26,1,0,1,1,1,0,0,164,0,3,0,0,17,2,2,1324,11,22,0,7,0,0,0,0,0,684,1455,21,27,0,2,2,5,0,0,0,0,157,39,22,0,163,328,188,87,2,181,88,3,7,163,0,1,146,149,0,191,2,294,159,162,0,0,43,106,311,2,1993,0,768,3428,3,115,103,62,558,21,49,120,1086,0,911,0,373,85,130,47,22,566,138,0,0,8,30,0,138,351,0,39,183,333,4518,1082,86,78,4253,1233,941,1,17,23,4,34,0,71,0,0,62,0,33,0,1306,43,313,1,2,50,90,1,169,1001,407,0,75,1,67,173,20,145,20,0,0,144,1294,0,146,42,327,2,0,0,0,2290,1,131,233,192,214,997,198,0,477,0,636,4799,139,0,0,3,1629,0,369,5,469,73,209,2,0,2,1085,0,971
2012,69,600,20,34,0,0,131,0,0,0,0,0,0,0,1,13,0,1,0,27,11,0,56,9,0,26,11,1,52,14,1,0,0,14,1,0,0,0,74,22,2,4,6,4,1,0,11,6,56,0,0,54,1,0,2,0,0,0,2,182,0,3,12,0,6,0,8,1248,104,23,0,0,0,0,9,3,0,1029,1541,14,26,0,1,3,3,0,0,0,0,162,39,26,0,146,410,168,86,1,190,68,10,2,188,0,1,147,106,0,202,0,319,137,213,0,0,32,131,281,0,1734,5,824,3022,2,98,68,51,484,34,22,91,1086,0,830,0,212,93,202,38,26,534,79,0,5,5,13,2,139,379,0,30,307,388,4651,1157,162,73,4791,864,1075,1,7,7,6,40,0,99,0,0,43,0,59,0,1382,41,317,0,0,66,103,2,148,811,416,0,67,0,65,196,22,136,20,0,0,162,1192,0,144,75,304,2,0,0,0,2274,0,127,265,198,161,864,186,0,415,0,674,4261,149,0,0,0,1454,0,372,5,338,76,207,5,0,0,1157,0,1332
2013,64,584,2,28,0,2,112,0,0,0,0,0,0,0,6,18,0,0,0,19,6,0,72,18,1,12,5,0,49,9,0,0,0,27,0,0,4,1,75,9,2,2,2,4,0,0,5,10,46,0,0,32,1,0,0,0,0,0,0,145,0,3,10,0,7,1,0,505,40,7,0,0,0,0,6,0,0,873,1348,8,38,0,1,1,0,0,0,1,0,136,36,23,0,187,240,149,63,0,145,65,4,2,164,6,0,142,104,0,172,0,332,156,148,0,0,32,142,239,1,1642,0,703,2360,0,104,93,54,422,21,60,48,807,0,720,0,252,54,95,29,44,610,153,0,1,3,16,4,125,290,0,7,198,316,3741,1021,106,73,3538,887,826,0,3,18,0,36,0,105,0,0,67,0,45,0,1193,36,261,2,0,61,61,2,184,703,364,0,78,0,54,148,25,148,18,0,0,153,1134,0,158,70,244,1,0,0,0,2180,5,115,220,172,173,893,132,0,318,0,526,3833,98,0,0,3,1199,0,386,4,342,82,290,0,0,0,968,1,1098
